rank,title,artist,release,summary,metascore,userscore
58,Carrie & Lowell,Sufjan Stevens,"March 31, 2015","The seventh full-length studio release for the singer-songwriter features contributions from Thomas Bartlett, Sean Carey, Casey Foubert, Ben Lester, Nedelle Torrisi, and Laura Veirs.",90,8.9
59,Jimmy Lee,Raphael Saadiq,"August 23, 2019","The first full-length release of new material from the R&B artist/producer was inspired by his late brother's struggle with drug addiction and features guest appearances from Rob Bacon, Reverend E. Baker, Ernest Turner, and Daniel J. Watts.",90,5.8
60,No Cities to Love,Sleater-Kinney,"January 20, 2015","The first release in ten years for the indie rock trio of Carrie Brownstein, Corin Tucker, and Janet Weiss was produced by John Goodmanson.",90,8.2
61,Eve,Rapsody,"August 23, 2019","The third full-length studio release for the North Carolina rapper features guest appearances from J. Cole, D'Angelo, GZA, JID, Leikeli47, Mereba], PJ Morton, Queen Latifah, K.Roosevelt, SiR, and Elle Varner.",90,8.1
62,Punisher,Phoebe Bridgers,"June 18, 2020","The second full-length solo release for the singer-songwriter features contributions from Julien Baker, Lucy Dacus, Christian Lee Hutson, Jim Keltner, Warpint's Jenny Lee Lindberg, Blake Mills, Conor Oberst, Bright Eyes' Nathaniel Walcott, and the Yeah Yeah Yeahs' Nick Zinner.",90,8.9
63,Send Them To Coventry [Mixtape],Pa Salieu,"November 13, 2020","The debut mixtape from the British rapper features guest appearances from Mahalia, M1llionz, BackRoad Gee, Boy Boy, Eight9FLY, Lz Dinero, Ni Santora, Shakavellie, and Stizee.",90,tbd
64,Original Pirate Material,The Streets,"October 22, 2002","This is the debut album by the London garage (or in this case, bedroom) band, which consists solely of 21-year-old Mike Skinner. Whether or not this style of music (very English rapping over garage/house beats) will translate well overseas remains to be seen, but garage (and especially Skinner) is the current flavor of the month with the UK music press.",90,8.7
65,Candi Staton,Candi Staton,"February 24, 2004",This 26-track disc compiles (for the first time on CD) songs from the acclaimed soul singer's 1969-1973 Muscle Shoals period when she recorded for Fame Records--a period that netted her 12 consecutive Billboard R&B hits.,90,8.6
66,Alice,Tom Waits,"May 7, 2002","One of two Waits releases in May 2002 ('Blood Money' is the other), 'Alice' was originally written as an opera and actually performed live during an 18-month engagement in Hamburg in the early 1990s. However, this is the first recording of these 15 tracks, culled from recent studio sessions.",90,8.6
67,Funeral,Arcade Fire,"September 14, 2004",The Montreal band founded by husband and wife Win Butler and Régine Chassagne make their full-length debut with this highly anticipated disc.,90,8.9
68,Holy Hell,Architects,"November 9, 2018","The eighth full-length release for the British metalcore band is its first without Tom Searle, who passed away in August 2016.",90,8.9
69,London Zoo,The Bug,"August 12, 2008",The third album for the artist/music producer Kevin Martin as The Bug.,90,6.5
70,Jama Ko,Bassekou Kouyate & Ngoni Ba,"April 2, 2013",The third release for Bassekou Kouyate introduces a new group of ngoni players and was co-produced with Howard Bilerman.,90,6.3
71,Sir Lucious Left Foot: The Son of Chico Dusty,Big Boi,"July 6, 2010","OutKast's Big Boi goes solo with an album featuring guest appearances from such artists as Jamie Foxx, Janelle Monae, B.o.B., Gucci Mane, Too Short, and George Clinton.",90,8.7
72,Psychodrama,Dave,"March 8, 2019",The debut full-length studio release for the British rapper features guest appearances from Burna Boy and J Hus.,90,8.0
73,Untrue,Burial,"November 6, 2007",The second album for the London-based anonymous dubstep artist.,90,8.0
